Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","671","Protein supply quantity (g)","S2913","Oilcrops","2018","2018","g","2488","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","684","Fat supply quantity (g/capita/day)","S2913","Oilcrops","2018","2018","g/capita/day","1.54","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","681","Fat supply quantity (g)","S2913","Oilcrops","2018","2018","g","4786","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2914","Vegetable Oils","2018","2018","1000 tonnes","83","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5611","Import Quantity","S2914","Vegetable Oils","2018","2018","1000 tonnes","179","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2914","Vegetable Oils","2018","2018","1000 tonnes","-3","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","S2914","Vegetable Oils","2018","2018","1000 tonnes","8","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5301","Domestic supply quantity","S2914","Vegetable Oils","2018","2018","1000 tonnes","257","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2914","Vegetable Oils","2018","2018","1000 tonnes","23","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5154","Other uses (non-food)","S2914","Vegetable Oils","2018","2018","1000 tonnes","51","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5170","Residuals","S2914","Vegetable Oils","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5142","Food","S2914","Vegetable Oils","2018","2018","1000 tonnes","183","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2018","2018","kg","21.46","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2914","Vegetable Oils","2018","2018","kcal/capita/day","490","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","661","Food supply (kcal)","S2914","Vegetable Oils","2018","2018","million kcal","1524381","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2914","Vegetable Oils","2018","2018","g/capita/day","0.05","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","671","Protein supply quantity (g)","S2914","Vegetable Oils","2018","2018","g","151","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","684","Fat supply quantity (g/capita/day)","S2914","Vegetable Oils","2018","2018","g/capita/day","55.82","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","681","Fat supply quantity (g)","S2914","Vegetable Oils","2018","2018","g","173699","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2918","Vegetables","2018","2018","1000 tonnes","425","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5611","Import Quantity","S2918","Vegetables","2018","2018","1000 tonnes","408","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2918","Vegetables","2018","2018","1000 tonnes","10","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","S2918","Vegetables","2018","2018","1000 tonnes","7","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5301","Domestic supply quantity","S2918","Vegetables","2018","2018","1000 tonnes","815","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5521","Feed","S2918","Vegetables","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2918","Vegetables","2018","2018","1000 tonnes","24","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5170","Residuals","S2918","Vegetables","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5142","Food","S2918","Vegetables","2018","2018","1000 tonnes","791","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","645","Food supply quantity (kg/capita/yr)","S2918","Vegetables","2018","2018","kg","92.82","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2918","Vegetables","2018","2018","kcal/capita/day","68","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","661","Food supply (kcal)","S2918","Vegetables","2018","2018","million kcal","212142","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2918","Vegetables","2018","2018","g/capita/day","3.24","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","671","Protein supply quantity (g)","S2918","Vegetables","2018","2018","g","10076","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","684","Fat supply quantity (g/capita/day)","S2918","Vegetables","2018","2018","g/capita/day","0.66","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","681","Fat supply quantity (g)","S2918","Vegetables","2018","2018","g","2041","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2919","Fruits - Excluding Wine","2018","2018","1000 tonnes","440","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5611","Import Quantity","S2919","Fruits - Excluding Wine","2018","2018","1000 tonnes","592","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2919","Fruits - Excluding Wine","2018","2018","1000 tonnes","6","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","S2919","Fruits - Excluding Wine","2018","2018","1000 tonnes","22","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5301","Domestic supply quantity","S2919","Fruits - Excluding Wine","2018","2018","1000 tonnes","1003","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2919","Fruits - Excluding Wine","2018","2018","1000 tonnes","34","E","Estimated value"
